,x,y,0728_pred_0.5_16,0728_pred_0.5_17,0728_pred_0.5_18,0728_pred_0.5_19,0728_pred_0.5_20,0728_pred_1_16,0728_pred_1_17,0728_pred_1_18,0728_pred_1_19,0728_pred_1_20
cell_1648,-12460.8986720029,11638.3714753502,4,7,7,15,6,8,3,3,3,11
cell_6002,459.10132799709,11536.3714753502,14,15,16,17,17,14,15,14,14,16
cell_1573,-12691.8986720029,11686.3714753502,4,7,7,15,6,8,3,3,3,11
cell_6896,2995.10132799709,11536.3714753502,11,8,8,8,8,1,0,11,10,3
cell_3460,-7127.89867200291,11647.3714753502,5,3,3,3,3,6,7,7,8,5
cell_6376,1427.10132799709,11504.3714753502,11,8,8,6,5,1,0,11,10,3
cell_780,-14681.8986720029,11674.3714753502,11,8,8,6,5,1,0,11,10,3
cell_803,-14600.8986720029,11649.3714753502,11,10,8,6,5,1,0,11,10,3
cell_1085,-13858.8986720029,11621.3714753502,4,7,7,15,19,8,3,3,18,11
cell_1546,-12748.8986720029,11601.3714753502,4,7,7,15,6,8,3,3,3,11
cell_3547,-6851.89867200291,11587.3714753502,15,3,3,3,3,6,7,7,8,5
cell_1610,-12551.8986720029,11610.3714753502,4,7,7,15,6,8,3,3,3,11
cell_9517,10511.1013279971,11496.3714753502,10,9,12,8,8,1,0,9,9,1
cell_4565,-3600.89867200291,11533.3714753502,10,9,12,8,8,1,0,9,9,1
cell_4257,-4700.89867200291,11530.3714753502,10,9,12,8,8,1,0,9,9,1
cell_7437,4506.10132799709,11614.3714753502,11,0,2,0,0,1,0,11,10,3
cell_1233,-13488.8986720029,11540.3714753502,13,1,0,12,19,9,11,17,18,20
cell_4049,-5295.89867200291,11519.3714753502,10,9,12,8,8,1,0,9,9,1
cell_3421,-7312.89867200291,11546.3714753502,15,3,3,3,3,6,7,7,8,5
cell_9810,11307.1013279971,11424.3714753502,5,3,3,3,3,6,7,7,8,5
cell_10460,12839.1013279971,11542.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3655,-6534.89867200291,11474.3714753502,2,2,1,1,1,6,7,7,8,5
cell_793,-14665.8986720029,11604.3714753502,11,10,9,0,5,1,0,11,10,3
cell_3456,-7135.89867200291,11546.3714753502,15,3,3,3,3,6,7,7,8,5
cell_7414,4535.10132799709,11445.3714753502,11,8,8,8,5,1,0,11,10,3
cell_1079,-13884.8986720029,11566.3714753502,4,7,7,15,19,8,3,3,18,11
cell_5762,-187.89867200291,11497.3714753502,10,9,12,17,17,14,15,14,14,16
cell_310,-15701.8986720029,11478.3714753502,4,7,13,11,13,10,5,4,4,12
cell_1713,-12255.8986720029,11407.3714753502,13,1,0,12,14,10,11,12,11,9
cell_10094,11876.1013279971,11493.3714753502,15,3,3,3,3,6,7,7,8,5
cell_11518,15343.1013279971,11479.3714753502,14,15,16,17,17,14,15,14,14,16
cell_4987,-2321.89867200291,11445.3714753502,11,8,8,8,8,1,0,11,10,3
cell_1473,-12860.8986720029,11419.3714753502,4,7,7,5,6,8,3,3,3,11
cell_10321,12425.1013279971,11562.3714753502,5,11,10,9,10,1,12,9,9,1
cell_10575,13154.1013279971,11477.3714753502,10,9,12,8,8,1,0,9,9,1
cell_3494,-6979.89867200291,11499.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10191,12154.1013279971,11443.3714753502,15,3,3,3,3,6,7,7,8,5
cell_1024,-13962.8986720029,11478.3714753502,13,1,0,15,19,9,11,12,18,9
cell_5675,-347.89867200291,11411.3714753502,11,8,8,6,5,1,0,11,10,3
cell_675,-14829.8986720029,11419.3714753502,5,3,18,4,4,13,14,16,17,19
cell_9881,11545.1013279971,11432.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3123,-8091.89867200291,11463.3714753502,10,9,12,8,8,1,0,9,9,1
cell_3238,-7761.89867200291,11464.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3571,-6707.89867200291,11403.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5596,-667.89867200291,11383.3714753502,1,8,8,0,10,1,0,11,10,7
cell_3318,-7605.89867200291,11439.3714753502,5,3,3,3,3,6,7,7,8,5
cell_6627,2109.10132799709,11455.3714753502,11,8,8,6,5,1,0,11,10,3
cell_1973,-11559.8986720029,11444.3714753502,2,12,1,6,5,2,2,11,10,3
cell_10490,12902.1013279971,11353.3714753502,5,3,3,3,3,6,7,7,8,5
cell_1590,-12553.8986720029,11456.3714753502,13,1,0,11,13,10,5,4,4,9
cell_2264,-10726.8986720029,11444.3714753502,10,9,12,8,8,1,0,11,10,1
cell_4856,-2643.89867200291,11385.3714753502,9,9,12,8,8,1,0,0,0,1
cell_3717,-6350.89867200291,11463.3714753502,10,9,12,8,8,1,0,0,0,7
cell_395,-15473.8986720029,11399.3714753502,10,0,12,0,0,1,0,9,9,1
cell_8781,8523.10132799709,11397.3714753502,11,8,8,8,11,2,2,1,1,0
cell_9741,11129.1013279971,11452.3714753502,5,3,10,3,3,6,7,7,8,5
cell_6591,1929.10132799709,11362.3714753502,11,8,8,6,5,1,0,11,10,3
cell_5974,352.10132799709,11447.3714753502,14,15,16,17,17,14,15,14,14,0
cell_5089,-2028.89867200291,11438.3714753502,12,12,11,13,11,1,0,0,10,7
cell_861,-14382.8986720029,11418.3714753502,9,1,0,10,9,9,11,17,18,20
cell_7479,4679.10132799709,11375.3714753502,11,8,8,6,5,1,0,11,10,3
cell_7197,3939.10132799709,11318.3714753502,6,12,4,13,7,2,2,11,1,7
cell_2439,-10256.8986720029,11383.3714753502,1,0,2,0,0,1,0,0,0,7
cell_1661,-12382.8986720029,11374.3714753502,13,1,0,12,14,10,5,12,11,9
cell_1931,-11737.8986720029,11353.3714753502,1,0,2,10,9,0,1,0,0,8
cell_3433,-7222.89867200291,11328.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3950,-5516.89867200291,11355.3714753502,11,8,8,8,8,1,0,11,10,1
cell_7682,5224.10132799709,11418.3714753502,1,0,2,0,0,1,1,0,10,7
cell_604,-15113.8986720029,11462.3714753502,10,15,12,17,17,14,15,14,14,16
cell_9731,11057.1013279971,11363.3714753502,10,9,12,8,8,1,0,9,9,1
cell_4098,-5114.89867200291,11366.3714753502,10,9,12,8,8,1,0,9,9,1
cell_6119,775.10132799709,11339.3714753502,1,0,2,0,0,1,0,0,0,8
cell_8416,7494.10132799709,11346.3714753502,11,8,8,6,5,1,0,11,10,3
cell_7700,5331.10132799709,11308.3714753502,12,8,11,0,11,1,0,11,10,7
cell_10077,11894.1013279971,11328.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3112,-8138.89867200291,11315.3714753502,5,9,3,3,8,1,0,9,9,1
cell_11035,14197.1013279971,11309.3714753502,1,0,8,8,0,1,0,9,9,1
cell_1217,-13280.8986720029,11224.3714753502,1,0,2,10,9,0,1,0,0,20
cell_1100,-13736.8986720029,11247.3714753502,4,7,7,15,19,8,3,3,11,11
cell_1471,-12915.8986720029,11276.3714753502,4,7,7,15,19,8,3,3,11,11
cell_574,-15110.8986720029,11325.3714753502,1,0,2,0,0,1,0,9,0,7
cell_10480,12800.1013279971,11356.3714753502,5,3,3,3,3,6,7,7,8,5
cell_3488,-7005.89867200291,11319.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10558,13086.1013279971,11338.3714753502,5,3,3,3,3,6,7,7,8,5
cell_4486,-3843.89867200291,11241.3714753502,10,9,12,8,8,1,0,9,9,1
cell_1761,-12106.8986720029,11290.3714753502,4,7,7,15,19,8,3,3,3,11
cell_6285,1136.10132799709,11303.3714753502,1,9,2,8,0,1,0,0,0,7
cell_3329,-7545.89867200291,11315.3714753502,5,3,3,3,3,6,7,7,8,5
cell_3613,-6658.89867200291,11325.3714753502,5,3,3,3,3,6,7,7,8,5
cell_8487,7639.10132799709,11270.3714753502,11,2,1,1,1,4,4,6,10,10
cell_11565,15356.1013279971,11324.3714753502,14,15,16,17,17,14,15,14,14,16
cell_1541,-12635.8986720029,11226.3714753502,11,8,1,8,8,1,0,0,0,20
cell_885,-14340.8986720029,11318.3714753502,13,1,0,12,19,9,11,17,18,20
cell_10699,13421.1013279971,11224.3714753502,5,9,12,8,8,1,0,9,9,1
cell_3887,-5747.89867200291,11250.3714753502,10,9,12,8,8,1,0,9,9,1
cell_5117,-2036.89867200291,11338.3714753502,12,12,11,13,11,1,0,0,0,8
cell_7976,6149.10132799709,11228.3714753502,10,9,12,8,8,1,0,11,10,3
cell_4853,-2757.89867200291,11249.3714753502,1,0,2,0,0,0,1,0,0,7
cell_6818,2710.10132799709,11231.3714753502,1,0,2,0,0,1,0,11,0,7
cell_3388,-7390.89867200291,11219.3714753502,5,3,3,3,3,6,7,7,8,5
cell_9450,10383.1013279971,11234.3714753502,10,9,2,8,0,1,0,9,9,1
cell_1967,-11572.8986720029,11276.3714753502,11,8,8,0,0,1,0,11,10,3
cell_783,-14558.8986720029,11206.3714753502,4,7,7,5,6,8,3,3,3,11
cell_10167,12067.1013279971,11291.3714753502,15,3,3,3,3,6,7,7,8,5
cell_9958,11594.1013279971,11214.3714753502,5,9,12,8,8,1,12,9,9,7
cell_5659,-479.89867200291,11285.3714753502,11,0,2,0,0,1,0,11,10,3
cell_5568,-765.89867200291,11188.3714753502,1,11,2,9,10,2,0,1,1,0
cell_10411,12660.1013279971,11213.3714753502,15,3,3,3,3,6,7,7,8,5
cell_318,-15637.8986720029,11226.3714753502,10,0,12,8,0,1,0,9,9,1
cell_10198,12238.1013279971,11196.3714753502,15,16,15,16,16,12,13,13,12,15
cell_1803,-11961.8986720029,11147.3714753502,4,7,7,15,19,8,3,3,18,11
cell_9815,11202.1013279971,11260.3714753502,10,9,12,8,8,1,0,9,9,1
cell_6172,905.10132799709,11195.3714753502,13,1,0,12,14,9,11,0,0,20
cell_3525,-6918.89867200291,11162.3714753502,5,3,3,3,3,6,7,7,8,5
cell_3239,-7801.89867200291,11186.3714753502,15,3,3,3,3,6,7,7,8,5
cell_240,-15798.8986720029,11098.3714753502,5,3,18,8,8,13,14,16,17,19
cell_3279,-7727.89867200291,11148.3714753502,5,3,3,3,3,6,7,7,8,5
cell_5651,-511.89867200291,11200.3714753502,1,0,9,0,0,0,1,0,0,7
cell_4545,-3647.89867200291,11103.3714753502,11,8,8,0,0,2,0,11,10,0
cell_3593,-6717.89867200291,11132.3714753502,10,9,12,8,8,1,0,9,9,1
cell_7753,5413.10132799709,11128.3714753502,11,8,8,6,5,1,0,11,10,3
cell_6378,1426.10132799709,11153.3714753502,2,2,1,6,5,4,4,6,7,3
cell_6882,2929.10132799709,11082.3714753502,7,4,6,6,5,5,6,5,5,3
cell_3646,-6493.89867200291,11078.3714753502,10,8,8,8,11,1,0,9,9,1
cell_5726,-278.89867200291,11132.3714753502,11,8,8,6,11,1,0,11,10,3
cell_862,-14386.8986720029,11179.3714753502,13,1,0,12,14,9,11,17,18,9
cell_4099,-5109.89867200291,11144.3714753502,10,9,12,8,8,1,0,9,9,1
cell_7465,4632.10132799709,11205.3714753502,11,8,8,6,5,1,0,11,10,3
cell_6914,3061.10132799709,11144.3714753502,13,1,0,11,13,10,5,4,4,12
cell_664,-14876.8986720029,11065.3714753502,5,3,18,3,3,13,14,9,9,1
cell_585,-15087.8986720029,11179.3714753502,1,0,2,0,0,1,0,0,0,7
cell_1453,-13078.8986720029,11256.3714753502,13,1,0,12,9,9,11,17,18,20
cell_3205,-7916.89867200291,11076.3714753502,15,3,3,3,3,6,7,7,8,5
cell_9850,11376.1013279971,11133.3714753502,10,9,12,8,8,1,0,9,9,1
cell_6134,738.10132799709,11142.3714753502,1,0,9,10,9,0,1,0,0,8
cell_3342,-7541.89867200291,11172.3714753502,5,3,3,3,3,6,7,7,8,5
cell_3470,-7074.89867200291,11135.3714753502,15,3,3,3,3,6,7,7,8,5
cell_11010,14177.1013279971,11057.3714753502,10,9,12,8,8,1,0,9,9,1
cell_1995,-11571.8986720029,11172.3714753502,11,0,2,0,0,1,0,11,10,7
cell_10142,12062.1013279971,11040.3714753502,10,9,12,1,1,13,0,9,9,1
cell_4760,-2952.89867200291,11070.3714753502,12,12,11,13,11,1,0,11,10,7
cell_741,-14664.8986720029,11052.3714753502,9,1,0,11,13,9,11,12,11,9
cell_2963,-8606.89867200291,11037.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10855,13892.1013279971,10998.3714753502,15,3,18,1,1,13,14,9,17,1
cell_5958,348.10132799709,11001.3714753502,11,8,8,6,5,1,0,11,10,3
cell_8699,8325.10132799709,11031.3714753502,1,0,2,0,0,1,0,11,10,7
cell_7444,4623.10132799709,11020.3714753502,2,8,8,6,5,1,0,6,10,3
cell_1759,-12130.8986720029,11077.3714753502,4,7,0,15,19,8,3,17,18,11
cell_6294,1202.10132799709,11074.3714753502,11,0,2,8,0,1,0,11,10,7
cell_1359,-13180.8986720029,11002.3714753502,13,1,0,10,9,9,11,17,18,20
cell_6187,949.10132799709,11068.3714753502,1,1,0,10,9,0,1,0,0,8
cell_1690,-12268.8986720029,10976.3714753502,4,7,7,15,19,8,3,3,18,11
cell_3394,-7375.89867200291,11012.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3354,-7487.89867200291,11069.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3313,-7635.89867200291,11078.3714753502,5,3,3,3,3,6,7,7,8,5
cell_10729,13505.1013279971,10994.3714753502,15,3,3,3,3,6,7,7,8,5
cell_4836,-2755.89867200291,11027.3714753502,1,0,2,0,0,1,1,0,0,7
cell_5678,-458.89867200291,11021.3714753502,11,0,2,0,0,1,1,11,0,7
cell_6087,677.10132799709,11008.3714753502,9,10,9,10,9,0,1,0,0,8
cell_6820,2762.10132799709,11001.3714753502,7,4,6,6,5,5,6,5,5,3
cell_1487,-12831.8986720029,10963.3714753502,3,13,13,11,13,10,5,12,11,9
cell_7611,5149.10132799709,10957.3714753502,4,7,7,5,6,8,3,3,3,13
cell_7802,5531.10132799709,11071.3714753502,11,8,8,6,5,1,0,11,10,3
cell_4079,-5180.89867200291,10979.3714753502,10,9,12,8,8,1,0,9,9,1
cell_2541,-9897.89867200291,10937.3714753502,9,9,12,8,8,1,0,11,9,1
cell_4277,-4565.89867200291,10903.3714753502,2,2,1,1,1,4,4,6,7,10
cell_3089,-8203.89867200291,10930.3714753502,15,3,3,3,3,6,7,7,8,5
cell_6163,820.10132799709,10985.3714753502,9,10,9,10,9,0,1,0,0,8
cell_424,-15438.8986720029,10979.3714753502,1,0,2,0,0,0,1,0,0,7
cell_6194,981.10132799709,10896.3714753502,11,8,8,0,0,0,1,0,0,8
cell_7775,5501.10132799709,10926.3714753502,11,8,8,6,5,1,0,11,10,3
cell_11446,15141.1013279971,10922.3714753502,2,2,1,1,1,4,4,6,7,3
cell_10805,13688.1013279971,10884.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3293,-7687.89867200291,11008.3714753502,5,3,3,3,3,6,7,7,8,5
cell_1786,-12049.8986720029,10982.3714753502,13,1,0,12,19,9,11,17,18,20
cell_3514,-7011.89867200291,11035.3714753502,5,3,3,3,3,6,7,7,8,5
cell_2061,-11321.8986720029,10966.3714753502,1,0,2,0,0,0,1,0,0,7
cell_3227,-7847.89867200291,10950.3714753502,15,3,3,3,3,6,7,7,8,5
