,x,y,0728_pred_0.5_16,0728_pred_0.5_17,0728_pred_0.5_18,0728_pred_0.5_19,0728_pred_0.5_20,0728_pred_1_16,0728_pred_1_17,0728_pred_1_18,0728_pred_1_19,0728_pred_1_20
cell_1276,-13372.8986720029,15776.3714753502,5,9,12,9,10,1,0,9,9,1
cell_691,-14882.8986720029,15896.3714753502,13,1,0,12,13,10,5,4,4,12
cell_396,-15492.8986720029,15835.3714753502,10,0,2,8,0,1,0,9,9,1
cell_68,-16185.8986720029,15768.3714753502,5,3,18,16,16,13,14,16,17,19
cell_6954,3130.10132799709,15792.3714753502,5,9,12,8,8,6,12,0,0,7
cell_7074,3530.10132799709,15780.3714753502,1,0,2,0,0,1,12,0,0,7
cell_9883,11500.1013279971,15783.3714753502,1,0,0,0,0,10,5,0,0,7
cell_2388,-10275.8986720029,15676.3714753502,5,3,18,4,4,13,14,16,17,19
cell_9642,10851.1013279971,15738.3714753502,1,8,8,0,9,0,0,0,0,8
cell_3710,-6295.89867200291,15730.3714753502,1,0,2,0,0,0,1,0,0,8
cell_844,-14399.8986720029,15615.3714753502,14,15,16,17,17,14,15,14,14,16
cell_2605,-9654.89867200291,15675.3714753502,5,3,18,3,3,13,14,16,17,19
cell_2904,-8800.89867200291,15678.3714753502,10,9,12,8,8,1,0,9,9,1
cell_1529,-12676.8986720029,15733.3714753502,11,8,8,8,5,2,2,1,10,0
cell_6061,610.10132799709,15622.3714753502,5,3,3,3,3,6,7,7,8,5
cell_10541,13069.1013279971,15715.3714753502,1,0,2,0,0,2,0,1,0,7
cell_4983,-2344.89867200291,15706.3714753502,1,0,2,0,0,1,0,11,10,7
cell_6442,1539.10132799709,15749.3714753502,5,0,2,0,0,6,12,7,8,5
cell_529,-15236.8986720029,15663.3714753502,15,16,15,16,16,13,14,16,17,19
cell_6673,2256.10132799709,15750.3714753502,5,0,12,0,0,1,12,7,8,5
cell_10487,12808.1013279971,15678.3714753502,1,0,2,0,0,1,0,0,0,7
cell_8619,8131.10132799709,15643.3714753502,11,8,8,8,5,1,0,11,10,3
cell_9403,10254.1013279971,15670.3714753502,4,7,7,15,6,9,11,12,18,9
cell_3595,-6730.89867200291,15695.3714753502,1,0,2,0,0,1,0,0,0,7
cell_6266,1121.10132799709,15701.3714753502,5,0,2,9,10,6,7,7,8,5
cell_6879,2894.10132799709,15684.3714753502,5,3,3,3,3,6,7,7,8,5
cell_6346,1337.10132799709,15672.3714753502,15,3,3,3,3,6,7,7,8,5
cell_6147,780.10132799709,15687.3714753502,5,3,3,3,3,6,7,7,8,5
cell_1634,-12454.8986720029,15584.3714753502,5,3,18,4,4,13,14,16,17,19
cell_5996,429.10132799709,15672.3714753502,5,0,2,8,10,6,12,0,0,7
cell_7346,4375.10132799709,15635.3714753502,15,3,3,3,3,6,7,7,8,5
cell_4517,-3761.89867200291,15600.3714753502,2,2,1,1,1,4,4,6,7,3
cell_2512,-9975.89867200291,15711.3714753502,5,3,10,9,10,1,0,9,9,1
cell_3532,-6902.89867200291,15626.3714753502,11,1,0,11,13,10,5,4,4,12
cell_3648,-6510.89867200291,15637.3714753502,13,1,0,11,13,10,5,4,4,9
cell_5763,-201.89867200291,15630.3714753502,5,3,3,3,3,6,7,7,8,5
cell_6841,2775.10132799709,15700.3714753502,5,3,3,3,3,6,7,7,8,5
cell_5941,281.10132799709,15643.3714753502,5,3,3,3,3,6,7,7,8,5
cell_2031,-11373.8986720029,15688.3714753502,13,1,0,11,13,10,5,4,4,12
cell_6183,888.10132799709,15608.3714753502,5,3,3,3,3,6,7,7,8,5
cell_6603,2020.10132799709,15645.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5482,-981.89867200291,15650.3714753502,1,0,2,0,0,0,1,0,0,7
cell_6938,3076.10132799709,15669.3714753502,5,3,3,3,3,6,7,7,8,5
cell_5191,-1764.89867200291,15624.3714753502,1,0,2,0,0,1,0,0,0,7
cell_6504,1753.10132799709,15614.3714753502,15,3,3,3,3,6,7,7,8,5
cell_11016,14193.1013279971,15610.3714753502,1,1,0,12,9,10,5,0,0,8
cell_5896,109.10132799709,15631.3714753502,5,3,3,3,3,6,7,7,8,5
cell_210,-15874.8986720029,15593.3714753502,3,7,13,11,6,10,5,4,4,12
cell_2981,-8552.89867200291,15659.3714753502,1,0,2,0,0,2,0,0,0,8
cell_2153,-11043.8986720029,15605.3714753502,5,3,18,9,10,13,14,16,17,19
cell_3035,-8420.89867200291,15659.3714753502,6,12,11,13,11,2,2,1,1,0
cell_4024,-5403.89867200291,15663.3714753502,1,0,2,0,0,1,0,0,0,7
cell_7029,3363.10132799709,15633.3714753502,5,3,3,3,3,6,7,7,8,5
cell_8835,8779.10132799709,15568.3714753502,4,7,7,15,19,9,3,12,18,9
cell_4450,-3998.89867200291,15632.3714753502,10,9,12,8,8,1,0,9,9,3
cell_5410,-1121.89867200291,15570.3714753502,1,0,2,0,0,0,1,0,0,7
cell_7193,3867.10132799709,15637.3714753502,5,3,3,3,3,6,7,7,8,5
cell_1195,-13618.8986720029,15574.3714753502,5,3,12,3,3,1,0,9,9,1
cell_982,-14080.8986720029,15599.3714753502,1,0,12,8,0,1,0,9,9,1
cell_6710,2360.10132799709,15549.3714753502,15,16,15,16,16,6,7,7,8,5
cell_8014,6249.10132799709,15506.3714753502,11,8,8,6,5,1,0,11,10,1
cell_4289,-4559.89867200291,15618.3714753502,9,0,2,0,0,1,1,0,0,7
cell_7103,3652.10132799709,15582.3714753502,15,3,3,3,3,6,7,7,8,5
cell_4185,-4880.89867200291,15511.3714753502,9,0,2,0,0,1,1,0,0,8
cell_1935,-11623.8986720029,15442.3714753502,5,3,18,3,3,13,14,16,17,19
cell_7425,4560.10132799709,15502.3714753502,5,3,10,3,3,13,14,7,8,19
cell_8297,7158.10132799709,15480.3714753502,2,2,1,1,1,4,4,6,7,10
cell_453,-15407.8986720029,15532.3714753502,10,11,10,9,0,1,0,9,9,7
cell_75,-16239.8986720029,15615.3714753502,9,10,12,8,8,1,0,9,9,1
cell_6828,2717.10132799709,15553.3714753502,15,3,3,3,3,6,7,7,8,5
cell_4262,-4683.89867200291,15501.3714753502,1,0,2,0,0,1,1,0,0,8
cell_10792,13645.1013279971,15510.3714753502,4,7,7,5,6,8,3,3,3,11
cell_1017,-13901.8986720029,15435.3714753502,10,9,18,8,8,13,14,16,17,1
cell_1520,-12763.8986720029,15552.3714753502,2,2,1,1,1,4,4,6,7,10
cell_6762,2553.10132799709,15482.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3175,-8021.89867200291,15513.3714753502,4,7,7,15,6,8,3,3,3,11
cell_6236,1045.10132799709,15553.3714753502,15,3,3,3,3,6,7,7,8,5
cell_9341,10038.1013279971,15512.3714753502,10,0,2,10,9,0,1,0,0,20
cell_7308,4112.10132799709,15534.3714753502,5,3,3,3,3,6,7,7,8,5
cell_6383,1376.10132799709,15601.3714753502,15,3,3,3,3,6,7,7,8,5
cell_1433,-12965.8986720029,15470.3714753502,15,3,18,16,16,13,14,16,17,19
cell_5781,-190.89867200291,15609.3714753502,5,3,3,3,3,6,7,7,8,5
cell_6625,2060.10132799709,15502.3714753502,15,3,3,3,3,6,7,7,8,5
cell_9997,11766.1013279971,15460.3714753502,4,7,7,5,6,8,3,3,3,11
cell_3755,-6238.89867200291,15542.3714753502,3,1,0,15,13,9,11,12,11,9
cell_6967,3198.10132799709,15471.3714753502,15,3,3,3,3,6,7,7,8,5
cell_119,-16153.8986720029,15566.3714753502,9,10,9,0,0,1,0,0,0,7
cell_8013,6169.10132799709,15549.3714753502,11,0,8,0,11,1,0,11,10,1
cell_7054,3461.10132799709,15455.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3821,-5939.89867200291,15437.3714753502,1,1,0,10,9,0,1,0,0,20
cell_6401,1468.10132799709,15498.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10966,14029.1013279971,15435.3714753502,4,7,7,15,19,8,3,3,18,11
cell_2026,-11373.8986720029,15425.3714753502,5,3,18,3,3,13,14,16,17,19
cell_841,-14517.8986720029,15527.3714753502,1,0,2,0,0,2,2,1,1,7
cell_6023,451.10132799709,15516.3714753502,5,3,3,3,3,6,7,7,8,5
cell_1334,-13299.8986720029,15446.3714753502,5,3,12,8,8,1,0,9,9,1
cell_2096,-11188.8986720029,15456.3714753502,5,3,18,3,3,13,14,16,17,19
cell_867,-14312.8986720029,15593.3714753502,10,11,10,9,10,14,15,14,14,16
cell_2675,-9556.89867200291,15452.3714753502,10,9,12,8,8,1,0,9,9,1
cell_4762,-3077.89867200291,15512.3714753502,12,8,8,13,11,2,2,1,1,0
cell_5897,204.10132799709,15472.3714753502,15,3,3,3,3,6,7,7,8,5
cell_9889,11517.1013279971,15395.3714753502,4,7,7,15,19,8,3,12,11,9
cell_7199,3933.10132799709,15454.3714753502,15,16,15,16,3,6,7,7,8,5
cell_7518,4780.10132799709,15396.3714753502,15,3,3,16,16,6,7,7,8,5
cell_6329,1227.10132799709,15479.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5811,-72.8986720029097,15476.3714753502,5,3,3,3,3,6,7,7,8,5
cell_566,-15078.8986720029,15392.3714753502,15,16,18,16,16,13,14,16,17,19
cell_1239,-13490.8986720029,15434.3714753502,5,3,12,8,8,1,0,9,9,1
cell_6858,2841.10132799709,15456.3714753502,15,3,3,3,3,6,7,7,8,5
cell_11611,15472.1013279971,15435.3714753502,1,0,2,10,9,0,1,0,0,8
cell_3458,-7162.89867200291,15431.3714753502,1,1,0,10,9,9,11,17,18,20
cell_7751,5464.10132799709,15387.3714753502,3,13,13,5,15,10,5,4,4,13
cell_6571,1944.10132799709,15453.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10695,13452.1013279971,15412.3714753502,4,7,7,15,19,8,3,3,3,11
cell_8655,8176.10132799709,15435.3714753502,11,8,8,6,5,1,0,11,10,3
cell_6902,2961.10132799709,15465.3714753502,15,3,3,3,3,6,7,7,8,5
cell_4620,-3410.89867200291,15330.3714753502,10,9,12,8,8,1,0,11,9,1
cell_5985,378.10132799709,15393.3714753502,5,3,3,3,3,6,7,7,8,5
cell_7158,3802.10132799709,15416.3714753502,15,3,3,3,3,6,7,7,8,5
cell_9385,10185.1013279971,15456.3714753502,10,0,2,0,0,0,1,0,0,8
cell_58,-16272.8986720029,15425.3714753502,9,10,9,8,8,1,1,0,0,7
cell_4753,-3115.89867200291,15432.3714753502,12,8,8,13,11,2,2,11,10,3
cell_9095,9406.10132799709,15370.3714753502,1,12,11,0,0,0,1,0,0,8
cell_1384,-13179.8986720029,15451.3714753502,5,3,12,9,10,1,14,16,9,1
cell_3192,-7927.89867200291,15352.3714753502,4,7,7,15,6,8,3,3,3,11
cell_9535,10568.1013279971,15310.3714753502,4,7,7,5,6,8,3,3,3,11
cell_2711,-9435.89867200291,15386.3714753502,10,9,12,8,8,1,0,9,9,1
cell_204,-15956.8986720029,15436.3714753502,9,10,2,0,0,1,0,0,0,7
cell_270,-15745.8986720029,15412.3714753502,1,0,12,0,0,1,0,9,9,1
cell_6072,641.10132799709,15429.3714753502,5,3,3,3,3,6,7,7,8,5
cell_7340,4297.10132799709,15414.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10838,13850.1013279971,15361.3714753502,4,7,7,15,19,8,3,3,3,11
cell_9307,9894.10132799709,15367.3714753502,9,1,0,10,9,9,11,17,18,20
cell_812,-14554.8986720029,15371.3714753502,1,0,2,0,0,1,0,0,0,7
cell_6103,755.10132799709,15296.3714753502,15,3,3,3,3,6,7,7,8,5
cell_7910,5889.10132799709,15312.3714753502,10,9,12,8,8,1,0,9,9,1
cell_3481,-6997.89867200291,15383.3714753502,4,7,7,15,19,9,11,12,11,9
cell_3586,-6844.89867200291,15431.3714753502,13,1,0,12,14,9,11,12,11,9
cell_6217,1055.10132799709,15336.3714753502,15,16,15,16,16,6,7,7,8,5
cell_7688,5252.10132799709,15347.3714753502,5,9,12,8,8,1,0,9,9,1
cell_486,-15325.8986720029,15344.3714753502,14,15,16,17,17,14,15,16,17,19
cell_5439,-1108.89867200291,15376.3714753502,1,0,2,0,0,0,1,0,0,7
cell_9679,10947.1013279971,15304.3714753502,4,7,7,15,19,9,11,17,18,20
cell_1715,-12217.8986720029,15292.3714753502,2,2,1,1,1,4,4,6,7,10
cell_5289,-1464.89867200291,15328.3714753502,5,9,2,8,8,1,12,0,0,7
cell_3143,-8077.89867200291,15348.3714753502,13,1,0,15,19,9,11,12,18,9
cell_7981,6190.10132799709,15315.3714753502,11,9,12,8,8,1,0,11,10,3
cell_8573,7951.10132799709,15258.3714753502,5,3,3,3,3,6,0,7,8,5
cell_4946,-2449.89867200291,15294.3714753502,10,0,8,8,8,1,0,11,9,0
cell_7473,4606.10132799709,15361.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10586,13240.1013279971,15284.3714753502,4,7,7,15,19,8,3,3,3,11
cell_2563,-9821.89867200291,15278.3714753502,10,9,12,8,8,1,14,9,9,1
cell_1595,-12530.8986720029,15280.3714753502,5,3,18,4,4,13,14,16,17,19
cell_2773,-9220.89867200291,15262.3714753502,4,7,7,5,6,8,3,3,3,11
cell_5808,-121.89867200291,15365.3714753502,5,3,3,3,3,6,7,7,8,5
cell_6560,1887.10132799709,15319.3714753502,15,3,3,3,3,6,7,7,8,5
cell_6657,2126.10132799709,15408.3714753502,15,3,3,3,3,6,7,7,8,5
cell_927,-14288.8986720029,15362.3714753502,5,3,12,8,8,13,14,16,17,19
cell_4710,-3146.89867200291,15306.3714753502,12,8,8,6,5,1,0,11,10,3
cell_7284,4125.10132799709,15306.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3432,-7224.89867200291,15246.3714753502,13,1,0,12,14,9,11,17,18,9
cell_5510,-912.89867200291,15279.3714753502,10,0,2,8,8,0,12,0,0,7
cell_6626,2082.10132799709,15322.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3364,-7433.89867200291,15225.3714753502,4,7,7,5,6,8,3,3,3,11
cell_6913,3013.10132799709,15331.3714753502,15,3,3,3,3,6,7,7,8,5
cell_7109,3636.10132799709,15248.3714753502,15,16,15,16,16,6,7,7,8,5
cell_6842,2782.10132799709,15269.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3602,-6672.89867200291,15163.3714753502,4,7,13,5,6,8,3,3,3,11
cell_2939,-8644.89867200291,15187.3714753502,4,7,7,5,6,8,3,3,3,11
cell_10995,14160.1013279971,15233.3714753502,4,7,7,15,19,8,3,3,3,11
cell_9219,9772.10132799709,15248.3714753502,13,1,0,15,19,9,11,17,18,20
cell_1437,-13059.8986720029,15369.3714753502,5,3,12,8,8,13,14,16,17,19
cell_2418,-10296.8986720029,15250.3714753502,10,9,12,8,8,1,0,9,9,1
cell_6341,1253.10132799709,15249.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5672,-405.89867200291,15274.3714753502,14,11,10,17,17,6,7,7,8,5
cell_11435,15072.1013279971,15306.3714753502,13,1,0,12,19,9,11,17,18,20
cell_1351,-13250.8986720029,15290.3714753502,10,9,12,8,8,1,0,9,9,1
cell_6050,553.10132799709,15260.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3690,-6430.89867200291,15239.3714753502,13,1,0,12,14,9,11,17,18,20
cell_863,-14327.8986720029,15227.3714753502,5,3,18,4,4,13,14,16,17,19
cell_7609,5078.10132799709,15272.3714753502,5,3,3,3,3,1,0,9,8,1
cell_6982,3271.10132799709,15277.3714753502,15,3,3,3,3,6,7,7,8,5
cell_696,-14774.8986720029,15325.3714753502,1,0,2,0,0,1,0,0,0,7
cell_5742,-190.89867200291,15218.3714753502,15,3,3,3,3,6,7,7,8,5
cell_6380,1404.10132799709,15203.3714753502,15,3,3,3,3,6,7,7,8,5
cell_6431,1520.10132799709,15275.3714753502,5,3,3,3,3,6,7,7,8,5
cell_11106,14414.1013279971,15232.3714753502,4,7,7,15,6,8,3,3,11,9
cell_264,-15846.8986720029,15344.3714753502,9,10,2,0,0,1,0,9,0,7
cell_11325,14884.1013279971,15211.3714753502,4,7,7,5,6,8,3,3,3,11
cell_5583,-717.89867200291,15233.3714753502,5,3,3,3,3,6,7,7,8,5
cell_9389,10138.1013279971,15268.3714753502,9,0,2,10,9,0,1,0,0,8
cell_11479,15227.1013279971,15192.3714753502,13,1,0,15,19,9,11,17,18,20
cell_2843,-9005.89867200291,15153.3714753502,4,7,7,5,6,8,3,3,3,11
cell_60,-16256.8986720029,15289.3714753502,10,9,12,8,0,1,0,0,0,1
cell_3077,-8259.89867200291,15193.3714753502,9,1,0,10,9,0,11,17,18,20
cell_3247,-7734.89867200291,15178.3714753502,4,7,7,5,6,8,3,3,3,11
cell_7060,3502.10132799709,15193.3714753502,15,3,3,3,3,6,7,7,8,5
cell_362,-15540.8986720029,15199.3714753502,12,12,11,13,7,2,2,1,1,0
cell_678,-14882.8986720029,15215.3714753502,10,9,12,8,0,1,0,9,9,1
cell_5341,-1316.89867200291,15225.3714753502,1,0,2,9,10,1,0,9,10,1
cell_8146,6690.10132799709,15277.3714753502,10,9,12,8,8,1,0,9,9,1
cell_2620,-9612.89867200291,15204.3714753502,5,3,18,4,3,13,14,16,17,19
cell_8671,8254.10132799709,15268.3714753502,1,0,2,0,0,1,0,11,10,7
cell_4721,-3092.89867200291,15200.3714753502,11,8,8,6,5,1,0,11,10,3
cell_1401,-13019.8986720029,15054.3714753502,14,9,16,9,10,14,15,9,9,1
cell_6927,3051.10132799709,15259.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5244,-1588.89867200291,15134.3714753502,5,9,12,8,8,1,0,9,9,1
cell_10531,13019.1013279971,15140.3714753502,4,7,7,5,6,8,3,3,3,11
cell_4142,-4972.89867200291,15135.3714753502,1,0,2,0,0,1,0,0,0,7
cell_8909,8912.10132799709,15125.3714753502,10,9,12,8,8,1,0,0,0,8
cell_6547,1920.10132799709,15190.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5436,-1078.89867200291,15206.3714753502,5,3,2,3,3,0,12,0,0,7
cell_7461,4591.10132799709,15157.3714753502,15,3,3,3,3,6,7,7,8,5
cell_4233,-4757.89867200291,15091.3714753502,10,9,12,8,8,1,0,11,10,7
cell_8684,8295.10132799709,15099.3714753502,1,0,2,0,0,1,0,11,10,7
cell_10463,12783.1013279971,15094.3714753502,13,1,0,12,19,10,5,12,11,9
cell_6735,2491.10132799709,15084.3714753502,5,3,3,3,3,6,7,7,8,5
cell_6674,2258.10132799709,15171.3714753502,5,3,3,3,3,6,7,7,8,5
cell_3654,-6552.89867200291,15195.3714753502,4,1,0,15,19,9,3,12,18,11
cell_6653,2121.10132799709,15208.3714753502,15,3,3,3,3,6,7,7,8,5
cell_7718,5309.10132799709,15182.3714753502,5,10,9,10,9,6,7,7,8,5
cell_9984,11709.1013279971,15052.3714753502,4,7,7,5,6,8,3,3,3,11
cell_6613,2026.10132799709,15130.3714753502,15,3,3,3,3,6,7,7,8,5
cell_6254,1093.10132799709,15162.3714753502,15,3,3,3,3,6,7,7,8,5
cell_7333,4204.10132799709,15172.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10638,13226.1013279971,15180.3714753502,4,7,7,15,19,8,3,3,18,11
cell_6045,527.10132799709,15106.3714753502,15,3,3,3,3,6,7,7,8,5
cell_7517,4744.10132799709,15097.3714753502,15,3,3,3,3,6,7,7,8,5
cell_7756,5385.10132799709,15140.3714753502,5,3,3,3,3,6,7,7,8,5
cell_7164,3814.10132799709,15148.3714753502,15,3,3,3,3,6,7,7,8,5
cell_1512,-12746.8986720029,15075.3714753502,5,3,18,4,4,13,14,16,17,19
cell_6180,907.10132799709,15100.3714753502,15,3,3,3,3,6,7,7,8,5
cell_6814,2695.10132799709,15078.3714753502,5,9,12,8,8,6,12,7,8,5
cell_10835,13785.1013279971,15099.3714753502,4,7,7,15,6,8,3,3,3,11
cell_8136,6623.10132799709,15053.3714753502,10,9,12,8,8,1,0,9,9,1
cell_2526,-10017.8986720029,15120.3714753502,10,10,12,8,8,1,0,9,9,1
cell_6460,1626.10132799709,15048.3714753502,4,13,13,5,6,8,5,4,4,13
cell_2988,-8582.89867200291,15171.3714753502,4,7,7,5,6,8,3,3,3,11
cell_7293,4105.10132799709,15069.3714753502,15,3,3,3,3,6,7,7,8,5
cell_9393,10199.1013279971,15056.3714753502,9,8,8,0,9,0,1,0,0,8
cell_4873,-2617.89867200291,15032.3714753502,14,15,16,17,17,14,15,1,14,0
cell_6985,3214.10132799709,15105.3714753502,15,3,3,3,3,6,7,7,8,5
cell_2088,-11209.8986720029,14938.3714753502,5,3,18,4,4,13,14,16,17,19
cell_5690,-434.89867200291,15143.3714753502,5,3,3,3,3,6,7,7,8,5
cell_7356,4321.10132799709,15071.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5606,-642.89867200291,15057.3714753502,15,3,3,3,3,6,7,7,8,5
cell_7780,5542.10132799709,15069.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10218,12204.1013279971,15029.3714753502,3,1,13,11,13,10,5,12,11,9
cell_10932,13966.1013279971,15050.3714753502,4,7,7,15,6,8,3,3,3,11
cell_5550,-842.89867200291,15125.3714753502,5,3,3,3,3,6,7,7,8,5
cell_9558,10665.1013279971,15004.3714753502,4,7,7,5,6,8,3,3,3,11
cell_7879,5803.10132799709,15063.3714753502,5,3,3,3,3,6,7,7,8,5
cell_10731,13527.1013279971,15024.3714753502,4,1,0,15,19,9,11,12,11,9
cell_2161,-10984.8986720029,15003.3714753502,14,15,16,17,17,14,15,14,14,1
cell_5525,-921.89867200291,15103.3714753502,5,3,3,3,3,6,7,7,8,5
cell_11425,15052.1013279971,15057.3714753502,13,1,0,10,9,9,11,17,18,20
cell_6648,2144.10132799709,15039.3714753502,10,10,9,10,9,0,1,0,8,5
cell_408,-15406.8986720029,15020.3714753502,15,16,18,16,16,13,14,16,17,19
cell_3217,-7857.89867200291,15036.3714753502,4,7,7,5,6,8,3,3,3,11
cell_7191,3852.10132799709,15033.3714753502,15,3,3,3,3,6,7,7,8,5
cell_1609,-12560.8986720029,15085.3714753502,10,0,12,8,8,13,14,9,9,1
cell_7220,3959.10132799709,14917.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5130,-1840.89867200291,15015.3714753502,15,3,3,3,3,6,7,7,8,5
cell_7279,4026.10132799709,15091.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5735,-257.89867200291,15083.3714753502,15,3,3,3,3,6,7,7,8,5
cell_6117,704.10132799709,14999.3714753502,5,3,3,3,3,6,7,7,8,5
cell_2544,-9969.89867200291,15081.3714753502,10,10,12,8,8,1,14,9,9,1
cell_6908,3017.10132799709,14980.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10616,13239.1013279971,15020.3714753502,3,1,0,11,13,9,11,12,11,9
cell_872,-14380.8986720029,15076.3714753502,10,9,12,8,8,13,14,9,9,19
cell_6689,2290.10132799709,14999.3714753502,10,9,12,8,8,1,0,9,9,1
cell_3332,-7506.89867200291,15030.3714753502,4,7,7,5,6,8,3,3,3,11
cell_7032,3432.10132799709,15005.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5293,-1371.89867200291,15004.3714753502,2,2,1,1,1,13,14,6,7,10
cell_5820,-5.89867200290973,14970.3714753502,15,3,3,3,3,6,7,7,8,5
cell_3676,-6472.89867200291,15010.3714753502,13,1,0,12,14,9,11,12,11,9
cell_8545,7850.10132799709,15016.3714753502,10,9,12,8,8,1,0,9,9,1
cell_886,-14229.8986720029,14943.3714753502,15,16,18,16,16,13,14,16,17,1
cell_2545,-9867.89867200291,14979.3714753502,5,3,18,11,13,10,5,4,4,13
cell_10098,11941.1013279971,14953.3714753502,3,1,0,11,13,10,5,4,4,9
cell_2482,-10120.8986720029,14951.3714753502,1,0,8,18,0,1,0,9,9,1
cell_10253,12350.1013279971,14937.3714753502,3,13,13,5,6,8,3,3,3,11
cell_1924,-11636.8986720029,14890.3714753502,5,3,18,4,4,13,14,16,17,19
cell_5680,-444.89867200291,15010.3714753502,15,3,3,3,3,6,7,7,8,5
cell_4374,-4242.89867200291,14931.3714753502,11,9,12,8,8,1,0,11,10,3
cell_5702,-425.89867200291,15079.3714753502,15,3,3,3,3,6,7,7,8,5
cell_5577,-784.89867200291,14986.3714753502,15,3,3,3,3,6,7,7,8,5
cell_8482,7674.10132799709,14932.3714753502,11,9,8,8,8,1,0,11,10,3
cell_6326,1191.10132799709,15047.3714753502,5,9,12,8,8,6,7,7,8,5
cell_6545,1891.10132799709,14965.3714753502,10,9,12,8,8,1,0,9,9,1
cell_3083,-8212.89867200291,15027.3714753502,9,10,9,10,9,0,1,17,18,20
cell_10513,12933.1013279971,14953.3714753502,13,1,0,12,14,10,5,12,11,9
cell_3513,-6899.89867200291,14789.3714753502,4,7,13,15,6,8,3,12,11,9
cell_11017,14202.1013279971,14964.3714753502,4,7,7,15,19,8,3,3,18,11
cell_10955,14030.1013279971,14916.3714753502,4,7,7,15,19,8,3,3,3,11
cell_7733,5342.10132799709,14870.3714753502,15,16,15,3,3,6,7,7,8,5
cell_7997,6269.10132799709,14842.3714753502,15,2,1,1,1,13,14,6,7,10
cell_1744,-12175.8986720029,14957.3714753502,5,9,12,8,8,1,0,9,9,1
cell_3631,-6594.89867200291,14908.3714753502,4,7,7,5,6,8,3,3,3,13
cell_5725,-224.89867200291,14897.3714753502,15,3,3,16,3,6,7,7,8,5
cell_10300,12478.1013279971,14870.3714753502,4,7,7,5,6,8,3,3,3,11
cell_503,-15255.8986720029,14946.3714753502,2,2,1,1,1,4,4,6,7,10
cell_864,-14418.8986720029,14998.3714753502,10,0,12,8,8,1,0,9,9,1
cell_7577,4981.10132799709,14902.3714753502,15,3,3,3,3,6,7,7,8,5
cell_8380,7383.10132799709,14889.3714753502,10,9,12,8,8,1,0,9,9,1
cell_1549,-12646.8986720029,14926.3714753502,2,2,1,1,1,4,4,6,7,1
cell_11472,15204.1013279971,14867.3714753502,13,1,0,12,14,10,5,12,11,9
cell_3463,-7161.89867200291,14863.3714753502,1,0,2,10,9,0,1,0,0,8
cell_10829,13742.1013279971,14980.3714753502,13,1,0,15,19,9,11,12,18,9
cell_5347,-1325.89867200291,14979.3714753502,2,2,1,1,1,6,7,7,8,5
cell_3215,-7914.89867200291,14894.3714753502,13,1,0,12,14,9,11,12,18,9
cell_5107,-2031.89867200291,14902.3714753502,5,3,3,3,3,6,7,7,8,5
cell_2852,-8901.89867200291,14858.3714753502,4,7,7,15,19,8,3,3,18,11
cell_2651,-9570.89867200291,14889.3714753502,13,1,0,12,14,10,5,4,11,9
cell_2592,-9771.89867200291,14837.3714753502,4,7,7,5,6,8,3,3,3,11
cell_2036,-11377.8986720029,14883.3714753502,11,8,8,6,5,4,4,6,17,19
cell_5416,-1118.89867200291,14879.3714753502,15,3,3,3,3,6,7,7,8,5
cell_9001,9174.10132799709,14827.3714753502,14,11,10,9,10,14,15,14,14,16
cell_7360,4279.10132799709,14913.3714753502,5,3,3,3,3,6,7,7,8,5
cell_3094,-8180.89867200291,14873.3714753502,9,10,9,10,9,0,1,17,18,20
cell_7810,5643.10132799709,14894.3714753502,2,3,1,1,10,6,7,7,7,5
cell_7281,4106.10132799709,14899.3714753502,15,3,3,3,3,6,7,7,8,5
cell_10360,12642.1013279971,14836.3714753502,4,7,7,5,6,8,3,3,3,11
cell_1605,-12343.8986720029,14856.3714753502,12,0,11,0,11,1,0,9,9,1
cell_6069,564.10132799709,14874.3714753502,1,0,2,0,0,1,1,0,0,7
cell_9545,10609.1013279971,14780.3714753502,4,13,13,5,6,8,3,3,3,11
cell_7049,3484.10132799709,14854.3714753502,10,9,12,8,8,1,0,9,9,1
cell_9173,9621.10132799709,14881.3714753502,1,10,9,10,9,0,1,0,0,8
